club,league,season,name,granular,broad,annual,weekly,currency,minutes,starts,index,formation_mode,matched
newcastle,epl,2025-26,Harvey Barnes,W,FWD,3120,60,GBP,2660,24,0.8571,forced433,True
newcastle,epl,2025-26,Anthony Gordon,W,FWD,7800,150,GBP,2630,23,2.1429,forced433,True
newcastle,epl,2025-26,Nick Woltemade,ST,FWD,4160,80,GBP,2600,22,1.1429,forced433,True
aston-villa,epl,2025-26,Emiliano Martínez,GK,GK,7800,150,GBP,2900,32,1.1538,actual,True
aston-villa,epl,2025-26,Matty Cash,FB,DEF,2860,55,GBP,2870,31,0.4231,actual,True
aston-villa,epl,2025-26,Ezri Konsa,CB,DEF,3640,70,GBP,2840,30,0.5385,actual,True
aston-villa,epl,2025-26,Pau Torres,CB,DEF,3380,65,GBP,2810,29,0.5,actual,True
aston-villa,epl,2025-26,Lucas Digne,FB,DEF,2860,55,GBP,2780,28,0.4231,actual,True
aston-villa,epl,2025-26,Boubacar Kamara,DM,MID,7800,150,GBP,2750,27,1.1538,actual,True
aston-villa,epl,2025-26,Youri Tielemans,CM,MID,7800,150,GBP,2720,26,1.1538,actual,True
aston-villa,epl,2025-26,Morgan Rogers,AM,MID,7800,150,GBP,2690,25,1.1538,actual,True
aston-villa,epl,2025-26,Leon Bailey,W,FWD,3380,65,GBP,2660,24,0.5,actual,True
aston-villa,epl,2025-26,Jadon Sancho,W,FWD,10400,200,GBP,2630,23,1.5385,actual,True
aston-villa,epl,2025-26,Ollie Watkins,ST,FWD,6760,130,GBP,2600,22,1.0,actual,True
aston-villa,epl,2025-26,Emiliano Martínez,GK,GK,7800,150,GBP,2900,32,1.1538,forced433,True
aston-villa,epl,2025-26,Ezri Konsa,CB,DEF,3640,70,GBP,2840,30,0.5385,forced433,True
aston-villa,epl,2025-26,Pau Torres,CB,DEF,3380,65,GBP,2810,29,0.5,forced433,True
aston-villa,epl,2025-26,Matty Cash,FB,DEF,2860,55,GBP,2870,31,0.4231,forced433,True
aston-villa,epl,2025-26,Lucas Digne,FB,DEF,2860,55,GBP,2780,28,0.4231,forced433,True
aston-villa,epl,2025-26,Boubacar Kamara,DM,MID,7800,150,GBP,2750,27,1.1538,forced433,True
aston-villa,epl,2025-26,Youri Tielemans,CM,MID,7800,150,GBP,2720,26,1.1538,forced433,True
aston-villa,epl,2025-26,Morgan Rogers,CM,MID,7800,150,GBP,2690,25,1.1538,forced433,True
aston-villa,epl,2025-26,Leon Bailey,W,FWD,3380,65,GBP,2660,24,0.5,forced433,True
aston-villa,epl,2025-26,Jadon Sancho,W,FWD,10400,200,GBP,2630,23,1.5385,forced433,True
aston-villa,epl,2025-26,Ollie Watkins,ST,FWD,6760,130,GBP,2600,22,1.0,forced433,True
real-madrid,laliga,2025-26,Federico Valverde,CM,MID,16640,320,EUR,3100,34,1.3333,actual,True
real-madrid,laliga,2025-26,Kylian Mbappé,ST,FWD,31200,600,EUR,3100,34,2.5,actual,True
real-madrid,laliga,2025-26,Thibaut Courtois,GK,GK,13000,250,EUR,3000,33,1.0417,actual,True
real-madrid,laliga,2025-26,Vinícius Júnior,W,FWD,24960,480,EUR,2900,31,2.0,actual,True
real-madrid,laliga,2025-26,Aurélien Tchouaméni,DM,MID,9880,190,EUR,2800,31,0.7917,actual,True
real-madrid,laliga,2025-26,Jude Bellingham,AM,MID,20800,400,EUR,2700,30,1.6667,actual,True
real-madrid,laliga,2025-26,Antonio Rüdiger,CB,DEF,9880,190,EUR,2600,28,0.7917,actual,True
real-madrid,laliga,2025-26,Álvaro Carreras,FB,DEF,4680,90,EUR,2500,27,0.375,actual,True
real-madrid,laliga,2025-26,Éder Militão,CB,DEF,7800,150,EUR,2400,26,0.625,actual,True
real-madrid,laliga,2025-26,Trent Alexander-Arnold,FB,DEF,12480,240,EUR,2300,25,1.0,actual,True
real-madrid,laliga,2025-26,Rodrygo,W,FWD,9880,190,EUR,2200,24,0.7917,actual,True
real-madrid,laliga,2025-26,Thibaut Courtois,GK,GK,13000,250,EUR,3000,33,1.3158,forced433,True
real-madrid,laliga,2025-26,Antonio Rüdiger,CB,DEF,9880,190,EUR,2600,28,1.0,forced433,True
real-madrid,laliga,2025-26,Éder Militão,CB,DEF,7800,150,EUR,2400,26,0.7895,forced433,True
real-madrid,laliga,2025-26,Álvaro Carreras,FB,DEF,4680,90,EUR,2500,27,0.4737,forced433,True
real-madrid,laliga,2025-26,Trent Alexander-Arnold,FB,DEF,12480,240,EUR,2300,25,1.2632,forced433,True
real-madrid,laliga,2025-26,Aurélien Tchouaméni,DM,MID,9880,190,EUR,2800,31,1.0,forced433,True
real-madrid,laliga,2025-26,Federico Valverde,CM,MID,16640,320,EUR,3100,34,1.6842,forced433,True
real-madrid,laliga,2025-26,Eduardo Camavinga,CM,MID,7800,150,EUR,1500,14,0.7895,forced433,True
real-madrid,laliga,2025-26,Vinícius Júnior,W,FWD,24960,480,EUR,2900,31,2.5263,forced433,True
real-madrid,laliga,2025-26,Rodrygo,W,FWD,9880,190,EUR,2200,24,1.0,forced433,True
real-madrid,laliga,2025-26,Kylian Mbappé,ST,FWD,31200,600,EUR,3100,34,3.1579,forced433,True
barcelona,laliga,2025-26,Jules Koundé,FB,DEF,6240,120,EUR,3000,33,0.8571,actual,True
barcelona,laliga,2025-26,Pedri,CM,MID,12480,240,EUR,3000,33,1.7143,actual,True
barcelona,laliga,2025-26,Pau Cubarsí,CB,DEF,2080,40,EUR,2900,32,0.2857,actual,True
barcelona,laliga,2025-26,Frenkie de Jong,CM,MID,7280,140,EUR,2900,32,1.0,actual,True
barcelona,laliga,2025-26,Lamine Yamal,W,FWD,16640,320,EUR,2900,32,2.2857,actual,True
barcelona,laliga,2025-26,Raphinha,W,FWD,14560,280,EUR,2800,31,2.0,actual,True
barcelona,laliga,2025-26,Alejandro Balde,FB,DEF,4160,80,EUR,2600,28,0.5714,actual,True
barcelona,laliga,2025-26,Ronald Araújo,CB,DEF,5200,100,EUR,2500,27,0.7143,actual,True
barcelona,laliga,2025-26,Marc-André ter Stegen,GK,GK,16640,320,EUR,2400,26,2.2857,actual,True
barcelona,laliga,2025-26,Robert Lewandowski,ST,FWD,31200,600,EUR,2400,26,4.2857,actual,True
barcelona,laliga,2025-26,Marc Casadó,DM,MID,1560,30,EUR,2100,22,0.2143,actual,True
barcelona,laliga,2025-26,Marc-André ter Stegen,GK,GK,16640,320,EUR,2400,26,2.2857,forced433,True
barcelona,laliga,2025-26,Pau Cubarsí,CB,DEF,2080,40,EUR,2900,32,0.2857,forced433,True
barcelona,laliga,2025-26,Ronald Araújo,CB,DEF,5200,100,EUR,2500,27,0.7143,forced433,True
barcelona,laliga,2025-26,Jules Koundé,FB,DEF,6240,120,EUR,3000,33,0.8571,forced433,True
barcelona,laliga,2025-26,Alejandro Balde,FB,DEF,4160,80,EUR,2600,28,0.5714,forced433,True
barcelona,laliga,2025-26,Marc Casadó,DM,MID,1560,30,EUR,2100,22,0.2143,forced433,True
barcelona,laliga,2025-26,Pedri,CM,MID,12480,240,EUR,3000,33,1.7143,forced433,True
barcelona,laliga,2025-26,Frenkie de Jong,CM,MID,7280,140,EUR,2900,32,1.0,forced433,True
barcelona,laliga,2025-26,Lamine Yamal,W,FWD,16640,320,EUR,2900,32,2.2857,forced433,True
barcelona,laliga,2025-26,Raphinha,W,FWD,14560,280,EUR,2800,31,2.0,forced433,True
barcelona,laliga,2025-26,Robert Lewandowski,ST,FWD,31200,600,EUR,2400,26,4.2857,forced433,True
atletico-madrid,laliga,2025-26,Jan Oblak,GK,GK,19500,375,EUR,2900,32,3.75,actual,True
atletico-madrid,laliga,2025-26,Nahuel Molina,FB,DEF,4680,90,EUR,2870,31,0.9,actual,True
atletico-madrid,laliga,2025-26,José María Giménez,CB,DEF,5720,110,EUR,2840,30,1.1,actual,True
atletico-madrid,laliga,2025-26,Robin Le Normand,CB,DEF,5200,100,EUR,2810,29,1.0,actual,True
atletico-madrid,laliga,2025-26,David Hancko,FB,DEF,4160,80,EUR,2780,28,0.8,actual,True
atletico-madrid,laliga,2025-26,Koke,DM,MID,6760,130,EUR,2750,27,1.3,actual,True
atletico-madrid,laliga,2025-26,Pablo Barrios,CM,MID,3120,60,EUR,2720,26,0.6,actual,True
atletico-madrid,laliga,2025-26,Antoine Griezmann,AM,MID,9360,180,EUR,2690,25,1.8,actual,True
atletico-madrid,laliga,2025-26,Nico González,W,FWD,4680,90,EUR,2660,24,0.9,actual,True
atletico-madrid,laliga,2025-26,Giuliano Simeone,W,FWD,2340,45,EUR,2630,23,0.45,actual,True
atletico-madrid,laliga,2025-26,Julián Álvarez,ST,FWD,12480,240,EUR,2600,22,2.4,actual,True
atletico-madrid,laliga,2025-26,Jan Oblak,GK,GK,19500,375,EUR,2900,32,3.75,forced433,True
atletico-madrid,laliga,2025-26,José María Giménez,CB,DEF,5720,110,EUR,2840,30,1.1,forced433,True
atletico-madrid,laliga,2025-26,Robin Le Normand,CB,DEF,5200,100,EUR,2810,29,1.0,forced433,True
atletico-madrid,laliga,2025-26,Nahuel Molina,FB,DEF,4680,90,EUR,2870,31,0.9,forced433,True
atletico-madrid,laliga,2025-26,David Hancko,FB,DEF,4160,80,EUR,2780,28,0.8,forced433,True
atletico-madrid,laliga,2025-26,Koke,DM,MID,6760,130,EUR,2750,27,1.3,forced433,True
atletico-madrid,laliga,2025-26,Pablo Barrios,CM,MID,3120,60,EUR,2720,26,0.6,forced433,True
atletico-madrid,laliga,2025-26,Antoine Griezmann,CM,MID,9360,180,EUR,2690,25,1.8,forced433,True
atletico-madrid,laliga,2025-26,Nico González,W,FWD,4680,90,EUR,2660,24,0.9,forced433,True
atletico-madrid,laliga,2025-26,Giuliano Simeone,W,FWD,2340,45,EUR,2630,23,0.45,forced433,True
atletico-madrid,laliga,2025-26,Julián Álvarez,ST,FWD,12480,240,EUR,2600,22,2.4,forced433,True
athletic-club,laliga,2025-26,Unai Simón,GK,GK,4992,96,EUR,2900,32,1.3714,actual,True
athletic-club,laliga,2025-26,Andoni Gorosabel,FB,DEF,2080,40,EUR,2870,31,0.5714,actual,True
athletic-club,laliga,2025-26,Aymeric Laporte,CB,DEF,8996,173,EUR,2840,30,2.4714,actual,True
athletic-club,laliga,2025-26,Dani Vivian,CB,DEF,3640,70,EUR,2810,29,1.0,actual,True
athletic-club,laliga,2025-26,Yuri Berchiche,FB,DEF,2600,50,EUR,2780,28,0.7143,actual,True
athletic-club,laliga,2025-26,Mikel Vesga,DM,MID,2080,40,EUR,2750,27,0.5714,actual,True
athletic-club,laliga,2025-26,Iñigo Ruiz de Galarreta,CM,MID,2340,45,EUR,2720,26,0.6429,actual,True
athletic-club,laliga,2025-26,Oihan Sancet,AM,MID,4160,80,EUR,2690,25,1.1429,actual,True
athletic-club,laliga,2025-26,Nico Williams,W,FWD,13000,250,EUR,2660,24,3.5714,actual,True
athletic-club,laliga,2025-26,Iñaki Williams,W,FWD,11388,219,EUR,2630,23,3.1286,actual,True
athletic-club,laliga,2025-26,Gorka Guruzeta,ST,FWD,2340,45,EUR,2600,22,0.6429,actual,True
athletic-club,laliga,2025-26,Unai Simón,GK,GK,4992,96,EUR,2900,32,1.3714,forced433,True
athletic-club,laliga,2025-26,Aymeric Laporte,CB,DEF,8996,173,EUR,2840,30,2.4714,forced433,True
athletic-club,laliga,2025-26,Dani Vivian,CB,DEF,3640,70,EUR,2810,29,1.0,forced433,True
athletic-club,laliga,2025-26,Andoni Gorosabel,FB,DEF,2080,40,EUR,2870,31,0.5714,forced433,True
athletic-club,laliga,2025-26,Yuri Berchiche,FB,DEF,2600,50,EUR,2780,28,0.7143,forced433,True
athletic-club,laliga,2025-26,Mikel Vesga,DM,MID,2080,40,EUR,2750,27,0.5714,forced433,True
athletic-club,laliga,2025-26,Iñigo Ruiz de Galarreta,CM,MID,2340,45,EUR,2720,26,0.6429,forced433,True
athletic-club,laliga,2025-26,Oihan Sancet,CM,MID,4160,80,EUR,2690,25,1.1429,forced433,True
athletic-club,laliga,2025-26,Nico Williams,W,FWD,13000,250,EUR,2660,24,3.5714,forced433,True
