season,position,team
2019-20,15,Brighton
2019-20,16,West Ham
2019-20,17,Aston Villa
2019-20,18,Bournemouth
2019-20,19,Watford
2019-20,20,Norwich
2020-21,1,Man City
2020-21,2,Man United
2020-21,3,Liverpool
2020-21,4,Chelsea
2020-21,5,Leicester
2020-21,6,West Ham
2020-21,7,Tottenham
2020-21,8,Arsenal
2020-21,9,Leeds
2020-21,10,Everton
2020-21,11,Aston Villa
2020-21,12,Newcastle
2020-21,13,Wolves
2020-21,14,Crystal Palace
2020-21,15,Southampton
2020-21,16,Brighton
2020-21,17,Burnley
2020-21,18,Fulham
2020-21,19,West Brom
2020-21,20,Sheffield United
2021-22,1,Man City
2021-22,2,Liverpool
2021-22,3,Chelsea
2021-22,4,Tottenham
2021-22,5,Arsenal
2021-22,6,Man United
2021-22,7,West Ham
2021-22,8,Leicester
2021-22,9,Brighton
2021-22,10,Wolves
2021-22,11,Newcastle
2021-22,12,Crystal Palace
2021-22,13,Brentford
2021-22,14,Aston Villa
2021-22,15,Southampton
2021-22,16,Everton
2021-22,17,Leeds
2021-22,18,Burnley
2021-22,19,Watford
2021-22,20,Norwich
2022-23,1,Man City
2022-23,2,Arsenal
2022-23,3,Man United
2022-23,4,Newcastle
2022-23,5,Liverpool
2022-23,6,Brighton
2022-23,7,Aston Villa
2022-23,8,Tottenham
2022-23,9,Brentford
2022-23,10,Fulham
2022-23,11,Crystal Palace
2022-23,12,Chelsea
2022-23,13,Wolves
2022-23,14,West Ham
2022-23,15,Bournemouth
2022-23,16,Nottm Forest
2022-23,17,Everton
2022-23,18,Leicester
2022-23,19,Leeds
2022-23,20,Southampton
2023-24,1,Man City
2023-24,2,Arsenal
2023-24,3,Liverpool
2023-24,4,Aston Villa
2023-24,5,Tottenham
2023-24,6,Chelsea
2023-24,7,Newcastle
2023-24,8,Man United
2023-24,9,West Ham
2023-24,10,Crystal Palace
2023-24,11,Brighton
2023-24,12,Everton
2023-24,13,Bournemouth
2023-24,14,Fulham
2023-24,15,Wolves
2023-24,16,Brentford
2023-24,17,Nottm Forest
2023-24,18,Luton
2023-24,19,Burnley
2023-24,20,Sheffield United
2024-25,1,Liverpool
2024-25,2,Arsenal
2024-25,3,Man City
2024-25,4,Chelsea
2024-25,5,Newcastle
2024-25,6,Aston Villa
2024-25,7,Nottm Forest
2024-25,8,Brighton
2024-25,9,Bournemouth
2024-25,10,Brentford
2024-25,11,Fulham
2024-25,12,Crystal Palace
2024-25,13,Everton
2024-25,14,West Ham
2024-25,15,Man United
2024-25,16,Wolves
2024-25,17,Tottenham
2024-25,18,Leicester
2024-25,19,Ipswich
2024-25,20,Southampton
