season,position,team
2016-17,7,Memphis Grizzlies
2016-17,8,Portland Trail Blazers
2016-17,9,Denver Nuggets
2016-17,10,New Orleans Pelicans
2016-17,11,Dallas Mavericks
2016-17,12,Sacramento Kings
2016-17,13,Minnesota Timberwolves
2016-17,14,Los Angeles Lakers
2016-17,15,Phoenix Suns
2017-18,1,Houston Rockets
2017-18,2,Golden State Warriors
2017-18,3,Portland Trail Blazers
2017-18,4,Utah Jazz
2017-18,5,Oklahoma City Thunder
2017-18,6,New Orleans Pelicans
2017-18,7,San Antonio Spurs
2017-18,8,Minnesota Timberwolves
2017-18,9,Denver Nuggets
2017-18,10,LA Clippers
2017-18,11,Los Angeles Lakers
2017-18,12,Sacramento Kings
2017-18,13,Dallas Mavericks
2017-18,14,Memphis Grizzlies
2017-18,15,Phoenix Suns
2018-19,1,Golden State Warriors
2018-19,2,Denver Nuggets
2018-19,3,Houston Rockets
2018-19,4,Portland Trail Blazers
2018-19,5,Utah Jazz
2018-19,6,Oklahoma City Thunder
2018-19,7,San Antonio Spurs
2018-19,8,LA Clippers
2018-19,9,Sacramento Kings
2018-19,10,Los Angeles Lakers
2018-19,11,Minnesota Timberwolves
2018-19,12,Dallas Mavericks
2018-19,13,New Orleans Pelicans
2018-19,14,Memphis Grizzlies
2018-19,15,Phoenix Suns
2019-20,1,Los Angeles Lakers
2019-20,2,LA Clippers
2019-20,3,Denver Nuggets
2019-20,4,Houston Rockets
2019-20,5,Utah Jazz
2019-20,6,Oklahoma City Thunder
2019-20,7,Dallas Mavericks
2019-20,8,Portland Trail Blazers
2019-20,9,Phoenix Suns
2019-20,10,Memphis Grizzlies
2019-20,11,San Antonio Spurs
2019-20,12,Sacramento Kings
2019-20,13,New Orleans Pelicans
2019-20,14,Minnesota Timberwolves
2019-20,15,Golden State Warriors
2020-21,1,Utah Jazz
2020-21,2,Phoenix Suns
2020-21,3,LA Clippers
2020-21,4,Denver Nuggets
2020-21,5,Los Angeles Lakers
2020-21,6,Dallas Mavericks
2020-21,7,Portland Trail Blazers
2020-21,8,Golden State Warriors
2020-21,9,Memphis Grizzlies
2020-21,10,San Antonio Spurs
2020-21,11,New Orleans Pelicans
2020-21,12,Sacramento Kings
2020-21,13,Minnesota Timberwolves
2020-21,14,Oklahoma City Thunder
2020-21,15,Houston Rockets
2021-22,1,Phoenix Suns
2021-22,2,Memphis Grizzlies
2021-22,3,Golden State Warriors
2021-22,4,Dallas Mavericks
2021-22,5,Utah Jazz
2021-22,6,Denver Nuggets
2021-22,7,Minnesota Timberwolves
2021-22,8,LA Clippers
2021-22,9,New Orleans Pelicans
2021-22,10,San Antonio Spurs
2021-22,11,Los Angeles Lakers
2021-22,12,Sacramento Kings
2021-22,13,Portland Trail Blazers
2021-22,14,Oklahoma City Thunder
2021-22,15,Houston Rockets
2022-23,1,Denver Nuggets
2022-23,2,Memphis Grizzlies
2022-23,3,Sacramento Kings
2022-23,4,Phoenix Suns
2022-23,5,Golden State Warriors
2022-23,6,LA Clippers
2022-23,7,Los Angeles Lakers
2022-23,8,New Orleans Pelicans
2022-23,9,Minnesota Timberwolves
2022-23,10,Oklahoma City Thunder
2022-23,11,Dallas Mavericks
2022-23,12,Utah Jazz
2022-23,13,Portland Trail Blazers
2022-23,14,Houston Rockets
2022-23,15,San Antonio Spurs
2023-24,1,Oklahoma City Thunder
2023-24,2,Denver Nuggets
2023-24,3,Minnesota Timberwolves
2023-24,4,LA Clippers
2023-24,5,Dallas Mavericks
2023-24,6,New Orleans Pelicans
2023-24,7,Phoenix Suns
2023-24,8,Los Angeles Lakers
2023-24,9,Golden State Warriors
2023-24,10,Sacramento Kings
2023-24,11,Houston Rockets
2023-24,12,Utah Jazz
2023-24,13,Memphis Grizzlies
2023-24,14,San Antonio Spurs
2023-24,15,Portland Trail Blazers
