season,position,team
2012-13,20,Brest
2013-14,1,Paris SG
2013-14,2,Monaco
2013-14,3,Lille
2013-14,4,St Etienne
2013-14,5,Lyon
2013-14,6,Marseille
2013-14,7,Bordeaux
2013-14,8,Nantes
2013-14,9,Lorient
2013-14,10,Toulouse
2013-14,11,Reims
2013-14,12,Rennes
2013-14,13,Bastia
2013-14,14,Evian Thonon Gaillard
2013-14,15,Montpellier
2013-14,16,Guingamp
2013-14,17,Nice
2013-14,18,Sochaux
2013-14,19,Valenciennes
2013-14,20,Ajaccio
2014-15,1,Paris SG
2014-15,2,Lyon
2014-15,3,Monaco
2014-15,4,Marseille
2014-15,5,St Etienne
2014-15,6,Bordeaux
2014-15,7,Montpellier
2014-15,8,Lille
2014-15,9,Rennes
2014-15,10,Guingamp
2014-15,11,Nice
2014-15,12,Bastia
2014-15,13,Caen
2014-15,14,Nantes
2014-15,15,Reims
2014-15,16,Lorient
2014-15,17,Toulouse
2014-15,18,Evian Thonon Gaillard
2014-15,19,Metz
2014-15,20,Lens
2015-16,1,Paris SG
2015-16,2,Lyon
2015-16,3,Monaco
2015-16,4,Nice
2015-16,5,Lille
2015-16,6,St Etienne
2015-16,7,Caen
2015-16,8,Rennes
2015-16,9,Angers
2015-16,10,Bastia
2015-16,11,Bordeaux
2015-16,12,Montpellier
2015-16,13,Marseille
2015-16,14,Nantes
2015-16,15,Lorient
2015-16,16,Guingamp
2015-16,17,Toulouse
2015-16,18,Reims
2015-16,19,Ajaccio GFCO
2015-16,20,Troyes
2016-17,1,Monaco
2016-17,2,Paris SG
2016-17,3,Nice
2016-17,4,Lyon
2016-17,5,Marseille
2016-17,6,Bordeaux
2016-17,7,Nantes
2016-17,8,St Etienne
2016-17,9,Rennes
2016-17,10,Guingamp
2016-17,11,Lille
2016-17,12,Angers
2016-17,13,Toulouse
2016-17,14,Metz
2016-17,15,Montpellier
2016-17,16,Dijon
2016-17,17,Caen
2016-17,18,Lorient
2016-17,19,Nancy
2016-17,20,Bastia
2017-18,1,Paris SG
2017-18,2,Monaco
2017-18,3,Lyon
2017-18,4,Marseille
2017-18,5,Rennes
2017-18,6,Bordeaux
2017-18,7,St Etienne
2017-18,8,Nice
2017-18,9,Nantes
2017-18,10,Montpellier
2017-18,11,Dijon
2017-18,12,Guingamp
2017-18,13,Amiens
2017-18,14,Angers
2017-18,15,Strasbourg
2017-18,16,Caen
2017-18,17,Lille
2017-18,18,Toulouse
2017-18,19,Troyes
2017-18,20,Metz
2018-19,1,Paris SG
2018-19,2,Lille
2018-19,3,Lyon
2018-19,4,St Etienne
2018-19,5,Marseille
2018-19,6,Montpellier
2018-19,7,Nice
2018-19,8,Reims
2018-19,9,Nimes
2018-19,10,Rennes
2018-19,11,Strasbourg
2018-19,12,Nantes
2018-19,13,Angers
2018-19,14,Bordeaux
2018-19,15,Amiens
2018-19,16,Toulouse
2018-19,17,Monaco
2018-19,18,Dijon
2018-19,19,Caen
2018-19,20,Guingamp
2019-20,1,Paris SG
2019-20,2,Marseille
2019-20,3,Rennes
2019-20,4,Lille
2019-20,5,Reims
2019-20,6,Nice
2019-20,7,Lyon
2019-20,8,Montpellier
2019-20,9,Monaco
2019-20,10,Angers
2019-20,11,Strasbourg
2019-20,12,Bordeaux
2019-20,13,Nantes
2019-20,14,Brest
2019-20,15,Metz
2019-20,16,Dijon
2019-20,17,St Etienne
2019-20,18,Nimes
2019-20,19,Amiens
2019-20,20,Toulouse
2020-21,1,Lille
2020-21,2,Paris SG
2020-21,3,Monaco
2020-21,4,Lyon
2020-21,5,Marseille
2020-21,6,Rennes
2020-21,7,Lens
2020-21,8,Montpellier
2020-21,9,Nice
2020-21,10,Metz
2020-21,11,St Etienne
2020-21,12,Bordeaux
2020-21,13,Angers
2020-21,14,Reims
2020-21,15,Strasbourg
2020-21,16,Lorient
2020-21,17,Brest
2020-21,18,Nantes
2020-21,19,Nimes
2020-21,20,Dijon
2021-22,1,Paris SG
2021-22,2,Marseille
2021-22,3,Monaco
2021-22,4,Nice
2021-22,5,Rennes
2021-22,6,Strasbourg
2021-22,7,Lyon
2021-22,8,Lens
2021-22,9,Nantes
2021-22,10,Lille
2021-22,11,Brest
2021-22,12,Reims
2021-22,13,Montpellier
2021-22,14,Angers
2021-22,15,Troyes
2021-22,16,Lorient
2021-22,17,Clermont
2021-22,18,St Etienne
2021-22,19,Metz
2021-22,20,Bordeaux
2022-23,1,Paris SG
2022-23,2,Lens
2022-23,3,Marseille
2022-23,4,Rennes
2022-23,5,Lille
2022-23,6,Monaco
2022-23,7,Lyon
2022-23,8,Clermont
2022-23,9,Nice
2022-23,10,Lorient
2022-23,11,Reims
2022-23,12,Montpellier
2022-23,13,Toulouse
2022-23,14,Brest
2022-23,15,Strasbourg
2022-23,16,Nantes
2022-23,17,Auxerre
2022-23,18,Ajaccio
2022-23,19,Troyes
2022-23,20,Angers
2023-24,1,Paris SG
2023-24,2,Monaco
2023-24,3,Brest
2023-24,4,Lille
2023-24,5,Nice
2023-24,6,Lyon
2023-24,7,Lens
2023-24,8,Marseille
2023-24,9,Reims
2023-24,10,Rennes
2023-24,11,Toulouse
2023-24,12,Montpellier
2023-24,13,Strasbourg
2023-24,14,Nantes
2023-24,15,Le Havre
2023-24,16,Lorient
2023-24,17,Metz
2023-24,18,Clermont
2024-25,1,Paris SG
2024-25,2,Marseille
2024-25,3,Monaco
2024-25,4,Nice
2024-25,5,Lille
2024-25,6,Lyon
2024-25,7,Strasbourg
2024-25,8,Lens
2024-25,9,Brest
2024-25,10,Toulouse
2024-25,11,Auxerre
2024-25,12,Rennes
2024-25,13,Nantes
2024-25,14,Angers
2024-25,15,Le Havre
2024-25,16,Reims
2024-25,17,St Etienne
2024-25,18,Montpellier
